Player,Player ID,Date of Birth,Team,TOI (sec),TOI (min),Total Games played,Total TOI/GP (sec),Total TOI/GP (min),G,A,PTS,+/-,S,Sh%,Position,Expected Goals For WOI,Actual to Expected Goals For WOI,Expected Goals Against WOI,Actual to Expected Goals Against WOI,Shot Attempts For WOI,Corsi Ratio,Shot Attempts Against WOI,Shots On Net For WOI,Shots On Net Ratio,Shots On Net Against WOI,Inner Slot Shots On Net For WOI,Inner Slot Shots On Net Against WOI,Inner Slot Shots On Net Corsi Ratio,Successful Pass to Slot For WOI,Successful Pass to Slot Against WOI,DZ Rebound Recovery Rate WOI,Successful OZ Rebound LPRs Against WOI
Kirill Kaprizov,8478864,1997-04-26,MIN,97091.38666666664,1618:11,75,1294.551822222222,21:35,46,50,96,11,279,0.16487455197132617,F,126.7021587189864,2.29784128101367,61.793296590749975,4.206703409250025,2071.0,0.6221087413637729,1258.0,1082.0,0.6095774647887324,693.0,295.0,131.0,0.6924882629107981,733.0,283.0,0.6051282051282051,155.0
Sam Reinhart,8477933,1995-11-06,FLA,99984.55999999998,1666:25,82,1219.323902439024,20:19,57,37,94,28,237,0.24050632911392406,F,112.77090244935276,8.22909755064724,66.84951245458882,-3.8495124545888104,2050.0,0.6180283388604161,1267.0,1083.0,0.6020011117287382,716.0,260.0,152.0,0.6310679611650486,624.0,292.0,0.5501165501165501,192.0
Filip Forsberg,8476887,1994-08-13,NSH,93047.41333333334,1550:47,82,1134.7245528455287,18:55,48,46,94,15,354,0.13559322033898305,F,111.02618265090636,11.973817349093704,59.2153962284177,-6.215396228417667,2002.0,0.6184738955823293,1235.0,1065.0,0.607529948659441,688.0,277.0,142.0,0.6610978520286396,570.0,256.0,0.57356608478803,171.0
Sidney Crosby,8471675,1987-08-07,PIT,98928.93666666668,1648:49,82,1206.4504471544717,20:06,42,52,94,7,284,0.14788732394366197,F,137.71702746544486,-19.717027465444815,80.34301432651007,8.656985673489894,2220.0,0.6075533661740559,1434.0,1181.0,0.5949622166246852,804.0,294.0,184.0,0.6150627615062761,657.0,317.0,0.5215419501133787,211.0
Brayden Point,8478010,1996-03-13,TBL,97380.77,1623:01,81,1202.2317283950615,20:02,46,44,90,-16,233,0.19742489270386265,F,125.4734638147124,11.526536185287508,71.28486104446704,14.715138955532968,2005.0,0.6044618631293337,1312.0,1063.0,0.5859977949283351,751.0,260.0,163.0,0.6146572104018913,715.0,288.0,0.5221445221445221,205.0
Sebastian Aho,8480222,1996-02-17,CAR,91903.92000000004,1531:44,78,1178.2553846153849,19:38,36,53,89,35,230,0.1565217391304348,F,97.20715465862853,14.792845341371418,61.48660627880811,-10.486606278808075,1818.0,0.6135673304083699,1145.0,950.0,0.5893300248138957,662.0,202.0,145.0,0.5821325648414986,516.0,304.0,0.542713567839196,183.0
Elias Pettersson,8483678,2004-02-16,VAN,96740.56333333332,1612:21,82,1179.762967479675,19:40,34,55,89,19,209,0.16267942583732056,F,112.79908346643964,19.200916533560505,72.47133941705611,-5.471339417056043,1793.0,0.5785737334624073,1306.0,946.0,0.5654512851165571,727.0,264.0,180.0,0.5945945945945946,531.0,346.0,0.5266990291262136,194.0
Matthew Tkachuk,8479314,1997-12-11,FLA,89388.42666666667,1489:48,80,1117.3553333333332,18:37,26,62,88,18,272,0.09558823529411764,F,120.70502245311428,-4.705022453114389,56.74858669088215,-8.748586690882101,2132.0,0.6602663363270362,1097.0,1132.0,0.6341736694677871,653.0,295.0,143.0,0.6735159817351598,690.0,257.0,0.6016260162601627,147.0
Robert Thomas,8480023,1999-07-02,STL,103316.47666666664,1721:56,82,1259.957032520325,21:00,26,60,86,9,169,0.15384615384615385,F,112.82053346675237,-7.820533466752388,89.38076653359865,-10.380766533598775,1836.0,0.5317115551694179,1617.0,1005.0,0.5231650182196772,916.0,232.0,212.0,0.5225225225225225,615.0,462.0,0.5357142857142857,234.0
Mitchell Marner,8478483,1997-05-05,TOR,88237.03333333334,1470:37,69,1278.7975845410629,21:19,26,59,85,22,177,0.14689265536723164,F,113.08002818161415,2.9199718183858945,67.74953928684556,-2.749539286845538,1718.0,0.5662491760052736,1316.0,924.0,0.5800376647834274,669.0,273.0,154.0,0.639344262295082,660.0,327.0,0.4659949622166247,211.0
Jesper Bratt,8479407,1998-07-30,NJD,95040.19,1584:00,82,1159.0267073170733,19:19,27,56,83,-6,261,0.10344827586206896,F,119.16836929919904,9.831630700800993,71.02162989243115,0.9783701075688528,2000.0,0.6121824303642486,1267.0,1059.0,0.5844370860927153,753.0,254.0,188.0,0.5746606334841629,579.0,312.0,0.5643564356435643,176.0
Steven Stamkos,8474564,1990-02-07,TBL,86515.74666666666,1441:56,79,1095.1360337552742,18:15,40,41,81,-22,266,0.15037593984962405,F,99.0301390723576,13.969860927642348,64.06378875181412,6.936211248185885,1710.0,0.5898585719213522,1189.0,883.0,0.5678456591639871,672.0,190.0,142.0,0.572289156626506,593.0,246.0,0.5162162162162162,179.0
Jason Robertson,8480027,1999-07-22,DAL,90172.77999999998,1502:53,82,1099.6680487804877,18:20,29,51,80,17,240,0.12083333333333333,F,100.3469970497273,11.65300295027274,46.73762892112871,8.262371078871315,1833.0,0.6232573954437266,1108.0,966.0,0.6272727272727273,574.0,213.0,105.0,0.6698113207547169,591.0,239.0,0.5422077922077922,142.0
Aleksander Barkov,8477493,1995-09-02,FLA,86108.82333333332,1435:09,73,1179.572922374429,19:40,23,57,80,33,206,0.11165048543689321,F,100.1013331647968,4.898666835203096,58.29126508050238,-16.29126508050234,1798.0,0.6217150760719226,1094.0,970.0,0.6112161310649024,617.0,235.0,128.0,0.6473829201101928,559.0,261.0,0.5620052770448549,166.0
Mathew Barzal,8478445,1997-05-26,NYI,96551.21666666666,1609:11,80,1206.8902083333332,20:07,23,57,80,-4,242,0.09504132231404959,F,121.4891062396029,-10.489106239602808,75.59448205240221,-15.594482052402167,2022.0,0.5763968072976055,1486.0,1116.0,0.5942492012779552,762.0,283.0,189.0,0.5995762711864406,589.0,329.0,0.5582959641255605,197.0
Zach Hyman,8475786,1992-06-09,EDM,93605.89666666668,1560:06,80,1170.0737083333331,19:30,54,23,77,36,279,0.1935483870967742,F,148.80182122712029,3.1981787728797335,56.13308635564183,-1.133086355641859,2117.0,0.6497851442602823,1141.0,1229.0,0.6526818906001062,654.0,359.0,143.0,0.7151394422310757,675.0,268.0,0.4890710382513661,187.0
Nick Suzuki,8480018,1999-08-10,MTL,104712.89999999998,1745:13,82,1276.9865853658534,21:17,33,44,77,-11,178,0.1853932584269663,F,105.54439138917972,1.4556086108202464,79.62537116506267,5.374628834937397,1794.0,0.5406871609403255,1524.0,989.0,0.543108182317408,832.0,199.0,174.0,0.5335120643431636,532.0,369.0,0.5062761506276151,235.0
Jake Guentzel,8477404,1994-10-06,CAR,80549.35,1342:29,67,1202.229104477612,20:02,30,47,77,25,224,0.13392857142857142,F,116.91292665117692,-18.912926651176875,56.15771496675773,-3.1577149667577205,1845.0,0.6256358087487284,1104.0,963.0,0.6056603773584905,627.0,246.0,125.0,0.6630727762803235,582.0,247.0,0.543859649122807,156.0
Vincent Trocheck,8476389,1993-07-11,NYR,105615.61333333331,1760:16,82,1287.9952845528453,21:28,25,52,77,16,215,0.11627906976744186,F,128.7687130187396,6.231286981260302,79.14773083915657,-9.147730839156544,2218.0,0.5933654360620653,1520.0,1121.0,0.5681702990369994,852.0,237.0,186.0,0.5602836879432624,679.0,389.0,0.5615079365079365,221.0
Clayton Keller,8479343,1998-07-29,ARI,90082.13666666669,1501:22,78,1154.8991880341882,19:15,33,43,76,-20,233,0.14163090128755365,F,81.80805765683263,6.191942343167366,60.98710153373903,3.0128984662609493,1519.0,0.5745083207261724,1125.0,798.0,0.5576519916142557,633.0,153.0,148.0,0.5083056478405316,631.0,261.0,0.5653409090909091,155.0
Chris Kreider,8475184,1991-04-30,NYR,92536.76666666663,1542:17,82,1128.4971544715445,18:48,39,36,75,19,229,0.1703056768558952,F,106.72422150867774,16.275778491322463,69.93708833400936,-17.937088334009363,1911.0,0.5932940080720274,1310.0,993.0,0.5803623611922852,718.0,210.0,177.0,0.5426356589147286,557.0,334.0,0.5330296127562643,205.0
Nazem Kadri,8475172,1990-10-06,CGY,90665.53000000004,1511:06,82,1105.6771951219516,18:26,29,46,75,-1,277,0.10469314079422383,F,96.41425679891783,4.585743201082115,61.37145076781525,-5.37145076781529,1827.0,0.5955019556714471,1241.0,955.0,0.5884165126309304,668.0,226.0,164.0,0.5794871794871795,515.0,289.0,0.5636856368563685,160.0
Adrian Kempe,8477960,1996-09-13,LAK,87595.48666666668,1459:55,77,1137.6037229437231,18:58,28,47,75,14,256,0.109375,F,87.9481380904474,9.051861909552551,58.45516544022767,-5.455165440227627,1570.0,0.565969718817592,1204.0,839.0,0.5574750830564784,666.0,183.0,147.0,0.5545454545454546,405.0,272.0,0.5664893617021277,163.0
Brandon Hagel,8479542,1998-08-27,TBL,94660.71333333332,1577:41,82,1154.3989430894308,19:14,26,49,75,1,187,0.13903743315508021,F,93.97073611718194,2.0292638828180816,82.16896675941668,7.831033240583315,1587.0,0.5196463654223968,1467.0,838.0,0.5054282267792521,820.0,222.0,175.0,0.5591939546599496,453.0,399.0,0.5136842105263157,231.0
Gustav Nyquist,8474679,1989-09-01,NSH,86286.7,1438:07,81,1065.267901234568,17:45,23,52,75,7,151,0.152317880794702,F,95.30058197525948,2.6994180247404596,62.58408091875403,-9.584080918754022,1743.0,0.5821643286573146,1251.0,949.0,0.5765492102065614,697.0,234.0,147.0,0.6141732283464567,495.0,281.0,0.528395061728395,191.0
Brady Tkachuk,8480801,1999-09-16,OTT,93052.10999999996,1550:52,81,1148.791481481481,19:09,37,37,74,1,347,0.10662824207492795,F,111.6978930882808,-10.697893088280829,62.88969855500615,3.110301444993813,2056.0,0.6243546917704221,1237.0,1132.0,0.6271468144044321,673.0,255.0,145.0,0.6375,571.0,298.0,0.5611702127659575,165.0
Jack Hughes,8481559,2001-05-14,NJD,77998.65333333334,1299:59,62,1258.0427956989247,20:58,27,47,74,-11,271,0.0996309963099631,F,96.85431480424008,-1.8543148042400353,49.95705948987,1.0429405101299865,1690.0,0.6334332833583208,978.0,901.0,0.6091954022988506,578.0,187.0,113.0,0.6233333333333333,495.0,230.0,0.5638629283489096,140.0
Brock Boeser,8478444,1997-02-25,VAN,90309.03000000004,1505:09,81,1114.9262962962966,18:35,40,33,73,23,216,0.18518518518518517,F,106.0129904340657,15.98700956593438,60.41174361752592,-13.411743617525891,1767.0,0.5983745343718253,1186.0,889.0,0.5698717948717948,671.0,226.0,152.0,0.5978835978835979,550.0,240.0,0.5703324808184144,168.0
Kevin Fiala,8477942,1996-07-22,LAK,88749.62333333331,1479:10,82,1082.3124796747966,18:02,29,44,73,1,243,0.11934156378600823,F,93.7945716315302,3.2054283684698017,47.396701643223174,5.603298356776844,1696.0,0.6096333572969087,1086.0,932.0,0.6172185430463576,578.0,196.0,111.0,0.6384364820846905,423.0,238.0,0.5272727272727272,156.0
Carter Verhaeghe,8477409,1995-08-14,FLA,81807.84333333334,1363:28,76,1076.4189912280704,17:56,34,38,72,17,245,0.13877551020408163,F,103.53736810832017,3.4626318916798775,49.04946478222262,-5.049464782222621,1901.0,0.6528159340659341,1011.0,999.0,0.6263322884012539,596.0,243.0,114.0,0.680672268907563,564.0,210.0,0.5723076923076923,139.0
Lucas Raymond,8482078,2002-03-28,DET,87359.36666666667,1455:59,82,1065.358130081301,17:45,31,41,72,-14,164,0.18902439024390244,F,83.38819454477884,10.611805455221184,64.18800969303595,14.81199030696405,1562.0,0.5503875968992248,1276.0,819.0,0.5388157894736842,701.0,165.0,150.0,0.5238095238095238,497.0,280.0,0.5769230769230769,164.0
Mika Zibanejad,8476459,1993-04-18,NYR,96073.95666666668,1601:14,81,1186.098230452675,19:46,26,46,72,15,230,0.11304347826086956,F,106.82969595099384,11.17030404900624,73.28054920359551,-17.280549203595545,1879.0,0.5762036185219258,1382.0,992.0,0.5668571428571428,758.0,210.0,178.0,0.5412371134020618,550.0,351.0,0.5397849462365591,213.0
Mark Scheifele,8476460,1993-03-15,WPG,89654.18000000001,1494:14,74,1211.542972972973,20:12,25,47,72,20,155,0.16129032258064516,F,99.79508396398631,-2.7950839639864133,66.58485053385428,-12.58485053385428,1624.0,0.5535105657805044,1310.0,886.0,0.5496277915632755,726.0,225.0,163.0,0.5798969072164949,547.0,310.0,0.504424778761062,226.0
Anze Kopitar,8471685,1987-08-24,LAK,95608.76333333334,1593:29,81,1180.3551028806585,19:40,26,44,70,11,143,0.18181818181818182,F,92.58576485336846,10.414235146631505,64.84783642961722,-0.8478364296172052,1663.0,0.5493888338288735,1364.0,891.0,0.5469613259668509,738.0,195.0,164.0,0.5431754874651811,426.0,321.0,0.5536585365853659,183.0
Tim Stützle,8482116,2002-01-15,OTT,94997.13,1583:17,75,1266.6283999999998,21:07,18,52,70,-20,203,0.08866995073891626,F,101.91445966632594,-9.914459666326067,78.68604138052149,5.313958619478459,1876.0,0.5818858560794045,1348.0,1005.0,0.567476002258611,766.0,204.0,176.0,0.5368421052631579,529.0,335.0,0.5361990950226244,205.0
Jonathan Marchessault,8476539,1990-12-27,VGK,87975.89333333333,1466:16,82,1072.8767479674796,17:53,42,27,69,-2,269,0.15613382899628253,F,96.18901226470832,-3.189012264708325,55.74249687584209,-2.7424968758420976,1681.0,0.5739160122908843,1248.0,943.0,0.5849875930521092,669.0,204.0,130.0,0.6107784431137725,535.0,268.0,0.5569948186528497,172.0
Brock Nelson,8475754,1991-10-15,NYI,88992.34333333332,1483:12,82,1085.2724796747966,18:05,34,35,69,-5,258,0.13178294573643412,F,109.50469487168836,-7.504694871688472,73.49368646673534,-16.493686466735394,1767.0,0.546551190844417,1466.0,934.0,0.547800586510264,771.0,248.0,191.0,0.5649202733485194,508.0,310.0,0.5413043478260869,211.0
Dylan Larkin,8477946,1996-07-30,DET,82344.61333333336,1372:25,68,1210.9501960784316,20:11,33,36,69,4,230,0.14347826086956522,F,84.84828366209919,11.151716337900863,67.55920943535929,6.440790564640771,1528.0,0.5429992892679459,1286.0,831.0,0.5385612443292288,712.0,162.0,154.0,0.5126582278481012,482.0,318.0,0.5175,193.0
Matt Boldy,8481557,2001-04-05,MIN,85120.06999999998,1418:40,75,1134.9342666666664,18:55,29,40,69,5,231,0.12554112554112554,F,110.3919427083182,-1.391942708318209,45.73576711348582,4.264232886514187,1884.0,0.6447638603696099,1038.0,993.0,0.6402321083172147,558.0,268.0,98.0,0.73224043715847,641.0,203.0,0.5460526315789473,139.0
Ryan O'Reilly,8475158,1991-02-07,NSH,97389.27000000002,1623:09,82,1187.674024390244,19:48,26,43,69,6,184,0.14130434782608695,F,102.96267933621928,6.037320663780685,67.29580172272576,-1.295801722725708,1874.0,0.5746703465194726,1387.0,991.0,0.569867740080506,748.0,258.0,151.0,0.6308068459657702,547.0,347.0,0.5773672055427251,183.0
Bo Horvat,8477500,1995-04-05,NYI,95699.36666666662,1594:59,81,1181.47366255144,19:41,33,35,68,-1,265,0.12452830188679245,F,117.54123823220144,-4.541238232201326,80.84766871774328,-9.847668717743256,1965.0,0.5496503496503496,1610.0,1072.0,0.5671957671957671,818.0,271.0,191.0,0.5865800865800865,553.0,375.0,0.5306553911205074,221.0
Travis Konecny,8478439,1997-03-11,PHI,90479.18666666668,1507:59,76,1190.515614035088,19:51,33,35,68,3,248,0.13306451612903225,F,94.43853876222484,-2.4385387622248027,78.29081447177198,1.7091855282280783,1865.0,0.5777571251548946,1363.0,1014.0,0.5837651122625216,723.0,195.0,174.0,0.5284552845528455,455.0,404.0,0.5357142857142857,195.0
Jack Eichel,8478403,1996-10-28,VGK,77588.28999999998,1293:08,63,1231.5601587301585,20:32,31,37,68,3,280,0.11071428571428571,F,83.88258687213452,-0.8825868721345833,56.70140757974261,-3.701407579742614,1431.0,0.5451428571428572,1194.0,818.0,0.5591250854408749,645.0,176.0,134.0,0.567741935483871,457.0,264.0,0.5013262599469496,189.0
Seth Jarvis,8482093,2002-02-01,CAR,91230.53,1520:31,81,1126.3028395061729,18:46,33,34,67,23,176,0.1875,F,93.46114010701396,13.53885989298604,60.10523508337749,-2.105235083377474,1767.0,0.5965563808237677,1195.0,918.0,0.585832801531589,649.0,210.0,144.0,0.5932203389830508,489.0,316.0,0.5589041095890411,163.0
Jordan Kyrou,8479385,1998-05-05,STL,90196.34333333332,1503:16,82,1099.955406504065,18:20,31,36,67,-12,275,0.11272727272727273,F,104.38099764084645,-11.380997640846369,63.043844259798824,-5.043844259798799,1751.0,0.591554054054054,1209.0,948.0,0.5762917933130699,697.0,211.0,140.0,0.6011396011396012,573.0,298.0,0.5343915343915344,176.0
Brad Marchand,8473419,1988-05-11,BOS,94099.51666666668,1568:20,82,1147.555081300813,19:08,29,38,67,2,223,0.13004484304932734,F,104.24149626703176,-5.241496267031669,76.78299523826642,-6.782995238266369,1675.0,0.5375481386392811,1441.0,912.0,0.5367863449087699,787.0,230.0,186.0,0.5528846153846154,542.0,337.0,0.4987893462469733,205.0
Joe Pavelski,8470794,1984-07-11,DAL,82774.62999999999,1379:35,82,1009.4467073170732,16:49,27,40,67,12,175,0.15428571428571428,F,90.12889552420135,12.871104475798546,48.097516314006626,4.90248368599337,1630.0,0.5905797101449275,1130.0,849.0,0.5839064649243466,605.0,195.0,106.0,0.6478405315614618,529.0,236.0,0.5426829268292683,151.0
Dylan Strome,8478440,1997-03-07,WSH,88315.26,1471:55,82,1077.0153658536583,17:57,27,40,67,-13,163,0.1656441717791411,F,97.3104147317826,-8.310414731782643,59.62669333683634,5.373306663163675,1717.0,0.5721426191269576,1284.0,868.0,0.5581993569131832,687.0,211.0,141.0,0.5994318181818182,535.0,261.0,0.5883838383838383,163.0
Evgeni Malkin,8471215,1986-07-31,PIT,91371.3,1522:51,82,1114.2841463414634,18:34,27,40,67,5,202,0.13366336633663367,F,114.59797996498354,-19.59797996498363,60.287719733273875,-3.287719733273892,1882.0,0.6051446945337621,1228.0,988.0,0.5995145631067961,660.0,253.0,145.0,0.635678391959799,590.0,272.0,0.5351351351351351,172.0
Nico Hischier,8480002,1999-01-04,NJD,83165.25333333337,1386:05,71,1171.341596244132,19:31,27,40,67,-4,176,0.1534090909090909,F,96.8206437718936,2.1793562281065397,65.93970200335153,-2.9397020033515737,1654.0,0.5823943661971831,1186.0,859.0,0.5636482939632546,665.0,211.0,163.0,0.5641711229946524,504.0,316.0,0.5119363395225465,184.0
Alex Debrincat,8479337,1997-12-18,DET,88011.42000000001,1466:51,82,1073.3100000000002,17:53,27,40,67,-1,234,0.11538461538461539,F,93.98803315222872,11.011966847771248,59.72427236467038,1.2757276353296694,1650.0,0.5581867388362652,1306.0,881.0,0.5551354757403907,706.0,173.0,135.0,0.5616883116883117,536.0,285.0,0.5297029702970297,190.0
Ryan Nugent-Hopkins,8476454,1993-04-12,EDM,94288.11333333331,1571:28,80,1178.6014166666664,19:39,18,49,67,11,197,0.09137055837563451,F,126.19440195443728,0.805598045562707,69.15211073942763,3.847889260572357,1872.0,0.5909090909090909,1296.0,1087.0,0.6062465142219744,706.0,305.0,156.0,0.6616052060737527,593.0,371.0,0.454308093994778,209.0
Drake Batherson,8480208,1998-04-27,OTT,89409.73666666662,1490:10,82,1090.3626422764223,18:10,28,38,66,-13,200,0.14,F,91.51939361052295,-5.51939361052303,65.2203182598786,-3.2203182598785483,1749.0,0.5826115922718188,1253.0,923.0,0.5722256664600124,690.0,189.0,157.0,0.546242774566474,485.0,277.0,0.542713567839196,182.0
Wyatt Johnston,8482740,2003-05-14,DAL,83613.79666666666,1393:34,82,1019.6804471544716,17:00,32,33,65,15,224,0.14285714285714285,F,77.93256571427972,2.0674342857203625,58.52228732281184,2.477712677188164,1473.0,0.542142068457858,1244.0,784.0,0.5448227936066713,655.0,187.0,144.0,0.5649546827794562,390.0,308.0,0.5421052631578948,172.0
Alex Ovechkin,8471214,1985-09-17,WSH,91108.02666666669,1518:28,79,1153.266160337553,19:13,31,34,65,-22,278,0.11151079136690648,F,98.81665037113292,-3.816650371132952,64.39829578442072,3.6017042155792436,1760.0,0.5714285714285714,1320.0,923.0,0.5593939393939394,727.0,217.0,156.0,0.5817694369973191,565.0,294.0,0.5475,181.0
Roope Hintz,8478449,1996-11-17,DAL,82860.53,1381:01,80,1035.756625,17:16,30,35,65,24,187,0.16042780748663102,F,94.29451306849523,11.705486931504854,51.09800779568676,4.901992204313173,1669.0,0.6025270758122744,1101.0,885.0,0.6099241902136457,566.0,197.0,108.0,0.6459016393442623,545.0,255.0,0.567398119122257,139.0
John Tavares,8475166,1990-09-20,TOR,85883.76,1431:24,80,1073.547,17:54,29,36,65,1,282,0.10283687943262411,F,117.20432868109071,-16.204328681090765,55.468891751206655,-5.468891751206657,1839.0,0.6041392904073587,1205.0,1012.0,0.5988165680473373,678.0,295.0,134.0,0.6876456876456877,635.0,221.0,0.5122549019607843,199.0
Cole Caufield,8481540,2001-01-02,MTL,95592.61333333331,1593:13,82,1165.763577235772,19:26,28,37,65,-4,325,0.08615384615384615,F,103.51577126143604,3.4842287385639756,69.43825641313376,-8.438256413133763,1734.0,0.5584541062801932,1371.0,957.0,0.5599765944997074,752.0,193.0,147.0,0.5676470588235294,515.0,304.0,0.5068807339449541,215.0
Matt Duchene,8475168,1991-01-16,DAL,80445.78000000001,1340:46,80,1005.5722500000002,16:46,25,40,65,16,170,0.14705882352941177,F,81.94296175351224,5.0570382464876795,59.13060528423914,-12.1306052842391,1424.0,0.5398028809704322,1214.0,745.0,0.5166435506241331,697.0,183.0,141.0,0.5648148148148148,434.0,277.0,0.5201072386058981,179.0
Joel Eriksson Ek,8478493,1997-01-29,MIN,95004.26333333334,1583:24,77,1233.8216017316015,20:34,30,34,64,17,256,0.1171875,F,109.08677249361264,4.913227506387469,77.5086117236636,3.491388276336299,1863.0,0.5586206896551724,1472.0,1009.0,0.5662177328843996,773.0,252.0,158.0,0.6146341463414634,585.0,372.0,0.4830699774266365,228.0
Claude Giroux,8473512,1988-01-12,OTT,99007.44000000005,1650:07,82,1207.407804878049,20:07,21,43,64,-12,190,0.11052631578947368,F,102.55574191003817,-13.555741910038218,88.1564283799513,13.843571620048706,1885.0,0.5642023346303502,1456.0,1005.0,0.560200668896321,789.0,218.0,200.0,0.5215311004784688,543.0,394.0,0.5342465753424658,204.0
Pavel Buchnevich,8477402,1995-04-17,STL,95266.96000000002,1587:47,80,1190.8370000000002,19:51,27,36,63,3,208,0.12980769230769232,F,103.52913463867309,-7.529134638673027,73.23264790252996,-6.232647902529943,1745.0,0.5567964262922782,1389.0,949.0,0.5410490307867731,805.0,215.0,178.0,0.5470737913486005,587.0,403.0,0.5411764705882353,195.0
Mats Zuccarello,8475692,1987-09-01,MIN,78207.50333333336,1303:28,69,1133.4420772946862,18:53,12,51,63,-5,177,0.06779661016949153,F,98.74536554495188,-4.745365544951876,43.638745947328495,3.3612540526715127,1656.0,0.6179104477611941,1024.0,848.0,0.6091954022988506,544.0,212.0,95.0,0.6905537459283387,578.0,209.0,0.5838709677419355,129.0
Jared McCann,8477955,1996-05-31,SEA,80460.58000000003,1341:01,80,1005.7572500000005,16:46,29,33,62,-11,231,0.12554112554112554,F,71.63634982712496,4.363650172874917,57.100876096189786,6.899123903810215,1486.0,0.5618147448015123,1159.0,782.0,0.5546099290780142,628.0,150.0,126.0,0.5434782608695652,375.0,295.0,0.4921630094043887,162.0
